Galaxy,Right Ascension,Declination,Distance (light-years)
BK 5N,N/A,N/A,N/A
DDO 78 (KK 89),N/A,N/A,N/A
F8D1,N/A,N/A,N/A
UGC 4459 (DDO 53),N/A,N/A,N/A
Centaurus A (NGC 5128),13h 25m 27.6s,−43° 01′ 09″,Centaurus A (NGC 5128)
KDG 64 (UGC 5442),N/A,N/A,N/A
KKs 54,N/A,N/A,N/A
NGC 5011C (ESO 269–68),N/A,N/A,N/A
Centaurus N,N/A,N/A,N/A
KK 213,N/A,N/A,N/A
KK 203,N/A,N/A,N/A
